PRS,Group,OR,low_ci,high_ci
PGS002775,Subset_White,1.240802047,1.170065133,1.315815399
PGS002776,Subset_White,1.257872166,1.186099096,1.333988357
PGS002809,Subset_White,1.192584558,1.124585552,1.264695181
PGS003355,Subset_White,1.257399048,1.185413956,1.333755485
PGS003356,Subset_White,1.601737337,1.510249087,1.698767785
PGS003438,Subset_White,1.29573551,1.221669823,1.374291548
PGS003446,Subset_White,1.246837044,1.16751998,1.331542621
PGS003725,Subset_White,1.511330248,1.424166686,1.603828499
PGS003726,Subset_White,1.596173141,1.504227864,1.693738533
PGS003727,Subset_White,1.684669275,1.588633601,1.786510472
PGS003866,Subset_White,1.276886889,1.202942969,1.35537608
PGS004196,Subset_White,1.24815051,1.174756663,1.326129695
PGS004197,Subset_White,1.244818678,1.170409533,1.323958408
PGS004198,Subset_White,1.230998684,1.157310713,1.309378495
PGS004199,Subset_White,1.247126097,1.173746376,1.325093337
PGS004200,Subset_White,1.251726339,1.177289479,1.330869642
PGS004321,Subset_White,1.168918499,1.102013827,1.239885039
PGS004443,Subset_White,1.179762867,1.112417454,1.251185351
PGS004444,Subset_White,1.107623583,1.044379574,1.174697431
PGS004513,Subset_White,1.117358345,1.053784606,1.184767423
PGS004514,Subset_White,1.063326827,1.002822759,1.127481333
PGS004595,Subset_White,1.152171885,1.085714684,1.222696968
PGS004596,Subset_White,1.125616276,1.061429759,1.193684265
PGS004696,Subset_White,1.292606201,1.215583939,1.374508776
PGS004697,Subset_White,1.293836969,1.218695375,1.373611599
PGS004698,Subset_White,1.325140594,1.243690832,1.411924531
PGS004743,Subset_White,1.3008057,1.226408679,1.37971583
PGS004744,Subset_White,1.267908111,1.19504947,1.345208728
PGS004745,Subset_White,1.249506009,1.17791869,1.325444005
PGS004746,Subset_White,1.297522063,1.223288681,1.376260183
